Id,ItemType,Category,ReportFormat,KeyCodeName,KeyCode,DWHCode,Formula,FormulaValid,FormulaError,DisplayOrder,DisplayUnit,DisplayFormat,UpdatedDate,UpdatedBy,ItemLevel,ValueType,IsPriceItem,IsTTMRatio,IsOverridable,IsShowReview,SectorFormula
654,Diamond,X-Factor,Bank,1Y Growth Prospect,12m_growth_prospect,NULL,NULL,1,NULL,94,NULL,0,53:31.6,ducle@dragoncapital.com,0,NULL,0,0,0,0,0
899,Diamond,X-Factor,Insurance,1Y Growth Prospect,12m_growth_prospect,NULL,NULL,1,NULL,90,NULL,0,55:56.6,ducle@dragoncapital.com,0,NULL,0,0,0,0,NULL
1338,Diamond,X-Factor,Security,1Y Growth Prospect,12m_growth_prospect,NULL,NULL,1,NULL,82,NULL,NULL,58:04.4,ducle@dragoncapital.com,0,NULL,0,0,0,0,NULL
206,Diamond,X-Factor,Standard,1Y Growth Prospect,12m_growth_prospect,NULL,NULL,1,NULL,100,NULL,0,54:13.8,duynguyen@dragoncapital.com,0,NULL,0,0,0,0,NULL
2199,Diamond,Consensus,Bank,ACBS,ACBS,NULL,NULL,1,NULL,0,NULL,NULL,59:52.6,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2202,Diamond,Consensus,Insurance,ACBS,ACBS,NULL,NULL,1,NULL,0,NULL,NULL,59:52.6,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2205,Diamond,Consensus,Security,ACBS,ACBS,NULL,NULL,1,NULL,0,NULL,NULL,59:52.7,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2196,Diamond,Consensus,Standard,ACBS,ACBS,NULL,NULL,1,NULL,0,NULL,NULL,59:52.5,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2200,Diamond,Consensus,Bank,ACBS.NPATMI,ACBS.NPATMI,NULL,NULL,1,NULL,0,Billion,NULL,59:52.6,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2203,Diamond,Consensus,Insurance,ACBS.NPATMI,ACBS.NPATMI,NULL,NULL,1,NULL,0,Billion,NULL,59:52.7,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2206,Diamond,Consensus,Security,ACBS.NPATMI,ACBS.NPATMI,NULL,NULL,1,NULL,0,Billion,NULL,59:52.7,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2197,Diamond,Consensus,Standard,ACBS.NPATMI,ACBS.NPATMI,NULL,NULL,1,NULL,0,Billion,NULL,59:52.5,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2201,Diamond,Consensus,Bank,ACBS.Target_Price,ACBS.Target_Price,NULL,NULL,1,NULL,0,NULL,NULL,59:52.6,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2204,Diamond,Consensus,Insurance,ACBS.Target_Price,ACBS.Target_Price,NULL,NULL,1,NULL,0,NULL,NULL,59:52.7,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2207,Diamond,Consensus,Security,ACBS.Target_Price,ACBS.Target_Price,NULL,NULL,1,NULL,0,NULL,NULL,59:52.8,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
2198,Diamond,Consensus,Standard,ACBS.Target_Price,ACBS.Target_Price,NULL,NULL,1,NULL,0,NULL,NULL,59:52.5,chinhtruong@dragoncapital.com,0,NULL,0,0,0,0,NULL
835,Diamond,Balance Sheet,Insurance,Account payable,Account_Payable,NULL,BS.86+BS.90+BS.91+BS.92+BS.93+BS.94+BS.97,1,NULL,27,Billion,NULL,50:48.7,dangvu@dragoncapital.com,0,NULL,0,0,0,0,NULL
1281,Diamond,Balance Sheet,Security,Account payable,Account_Payable,NULL,BS.102+BS.104+BS.106+BS.107+BS.108+BS.109+BS.110+BS.116,1,NULL,19,Billion,NULL,37:54.8,ducle@dragoncapital.com,0,NULL,0,0,0,0,NULL
132,Diamond,Balance Sheet,Standard,Account payable,Account_Payable,NULL,BS.69,1,NULL,25,Billion,NULL,34:34.9,ducle@dragoncapital.com,0,NULL,0,0,0,0,NULL
1273,Diamond,Balance Sheet,Security,Account receivable,Account_Receivable,NULL,BS.11,1,NULL,11,Billion,NULL,01:45.3,ducle@dragoncapital.com,0,NULL,0,0,0,0,NULL
